SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Availability,Storage Class,Volume Type,Fee Code,Fee Description,Group,Group Description,Transfer Type,From Location,From Location Type,To Location,To Location Type,usageType,operation,Durability
TYZADFBQUJ5K2FN7,JRTCKXETXF,TYZADFBQUJ5K2FN7.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.09 per GB - Asia Pacific (Singapore) data transfer to US East (Northern Virginia),2016-09-01,0,Inf,GB,0.09,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,InterRegion Outbound,Asia Pacific (Singapore),AWS Region,US East (N. Virginia),AWS Region,APS1-USE1-AWS-Out-Bytes,,
VAZN6DTCBM4DH9N3,JRTCKXETXF,VAZN6DTCBM4DH9N3.JRTCKXETXF.6YS6EN2CT7,OnDemand,"$0.06 per 1,000 Glacier Requests",2016-09-01,0,Inf,Requests,0.00006,USD,API Request,AmazonS3,EU (Frankfurt),AWS Region,,,,,,S3-API-Tier3,Glacier Requests,,,,,,EUC1-Requests-Tier3,,
C378E256SNKERC5B,JRTCKXETXF,C378E256SNKERC5B.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per GB - Asia Pacific (Mumbai) data transfer from EU (Germany),2016-09-01,0,Inf,GB,0,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,InterRegion Inbound,Asia Pacific (Mumbai),AWS Region,EU (Frankfurt),AWS Region,APS3-EUC1-AWS-In-Bytes,,
9MHWT9HUP987RZ89,JRTCKXETXF,9MHWT9HUP987RZ89.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.040 per GB - EU (Germany) Amazon S3 accelerated data transfer to US East (Northern Virginia),2016-09-01,0,Inf,GB,0.04,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,Accelerated InterRegion Outbound from close by location,EU (Frankfurt),AWS Region,US East (N. Virginia),AWS Region,EUC1-USE1-AWS-Out-ABytes,,
MQ4SWZ54XKFN5QMV,JRTCKXETXF,MQ4SWZ54XKFN5QMV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.040 per GB - US West (Oregon) Amazon S3 accelerated data transfer to South America (Sao Paulo),2016-09-01,0,Inf,GB,0.04,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,"Accelerated InterRegion Outbound using edge locations outside US, Europe or Japan",US West (Oregon),AWS Region,South America (Sao Paulo),AWS Region,USW2-SAE1-AWS-Out-ABytes-T2,,
DF4BY5UT7Z8BKZ83,JRTCKXETXF,DF4BY5UT7Z8BKZ83.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.040 per GB - US East (Northern Virginia) Amazon S3 accelerated data transfer from EU (Germany),2016-09-01,0,Inf,GB,0.04,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,"Accelerated InterRegion Inbound using edge locations within US, Europe or Japan",US East (N. Virginia),AWS Region,EU (Frankfurt),AWS Region,USE1-EUC1-AWS-In-ABytes-T1,,
GP5HZ8XVGGSCW2K6,JRTCKXETXF,GP5HZ8XVGGSCW2K6.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.040 per GB - Asia Pacific (Seoul) Amazon S3 accelerated data transfer to Asia Pacific (Sydney),2016-09-01,0,Inf,GB,0.04,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,"Accelerated InterRegion Outbound using edge locations outside US, Europe or Japan",Asia Pacific (Seoul),AWS Region,Asia Pacific (Sydney),AWS Region,APN2-APS2-AWS-Out-ABytes-T2,,
VGHXTWECC364BDUA,JRTCKXETXF,VGHXTWECC364BDUA.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.040 per GB - Asia Pacific (Singapore) Amazon S3 accelerated data transfer from Asia Pacific (Seoul),2016-09-01,0,Inf,GB,0.04,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,Accelerated InterRegion Inbound from close by location,Asia Pacific (Singapore),AWS Region,Asia Pacific (Seoul),AWS Region,APS1-APN2-AWS-In-ABytes,,
BJKH3VYGVEEXSNAH,JRTCKXETXF,BJKH3VYGVEEXSNAH.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per GB - US East (Northern Virginia) data transfer from Asia Pacific (Tokyo),2016-09-01,0,Inf,GB,0,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,InterRegion Inbound,US East (N. Virginia),AWS Region,Asia Pacific (Tokyo),AWS Region,USE1-APN1-AWS-In-Bytes,,
FUDV6EERMYBFBG7H,JRTCKXETXF,FUDV6EERMYBFBG7H.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per GB - EU (Germany) data transfer from EU (Ireland),2016-09-01,0,Inf,GB,0,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,InterRegion Inbound,EU (Frankfurt),AWS Region,EU (Ireland),AWS Region,EUC1-EU-AWS-In-Bytes,,
