"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2015-12-09T23:40:29Z"
"Version","20150901000000"
"OfferCode","AmazonSES"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","Product Family","serviceCode","Description","Location","Location Type","Origin","Group","Group Description","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation","Content Type","Recipient"
"ABK2X62TAPM5BT68","JRTCKXETXF","ABK2X62TAPM5BT68.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.09 per GB - Asia Pacific (Tokyo) data transfer to Asia Pacific (Sydney)","2015-09-01","0","Inf","GB","0.0900000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","Asia Pacific (Tokyo)","AWS Region","Asia Pacific (Sydney)","AWS Region","APN1-APS2-AWS-Out-Bytes","",,
"GY9F94SMZ3KAGB8T","JRTCKXETXF","GY9F94SMZ3KAGB8T.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.16 per GB - South America (Sao Paulo) data transfer to EUC1 (FRA)","2015-09-01","0","Inf","GB","0.1600000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","South America (Sao Paulo)","AWS Region","EU (Frankfurt)","AWS Region","SAE1-EUC1-AWS-Out-Bytes","",,
"E4QGTN6SQ5FG2UJN","JRTCKXETXF","E4QGTN6SQ5FG2UJN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.09 per GB - Asia Pacific (Tokyo) data transfer to EUC1 (FRA)","2015-09-01","0","Inf","GB","0.0900000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","Asia Pacific (Tokyo)","AWS Region","EU (Frankfurt)","AWS Region","APN1-EUC1-AWS-Out-Bytes","",,
"WFJRB9TTNEXMA2UB","JRTCKXETXF","WFJRB9TTNEXMA2UB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - EU (Ireland) data transfer to Asia Pacific (Sydney)","2015-09-01","0","Inf","GB","0.0200000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","EU (Ireland)","AWS Region","Asia Pacific (Sydney)","AWS Region","EU-APS2-AWS-Out-Bytes","",,
"XNKCM8BJ7Q7G8G4N","JRTCKXETXF","XNKCM8BJ7Q7G8G4N.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - EU (Ireland) data transfer to Asia Pacific (Tokyo)","2015-09-01","0","Inf","GB","0.0200000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","EU (Ireland)","AWS Region","Asia Pacific (Tokyo)","AWS Region","EU-APN1-AWS-Out-Bytes","",,
"4BAF8VGM5BP9M7JM","JRTCKXETXF","4BAF8VGM5BP9M7JM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.09 per GB - Asia Pacific (Singapore) data transfer to Asia Pacific (Sydney)","2015-09-01","0","Inf","GB","0.0900000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","Asia Pacific (Singapore)","AWS Region","Asia Pacific (Sydney)","AWS Region","APS1-APS2-AWS-Out-Bytes","",,
"R4PWP66P83S6KEPZ","JRTCKXETXF","R4PWP66P83S6KEPZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB data transfer out of AWS GovCloud (US) to CloudFront","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","AWS GovCloud (US)","AWS Region","Amazon CloudFront","AWS Edge Location","UGW1-CloudFront-Out-Bytes","",,
"FS3X65WBAB5XWFYZ","JRTCKXETXF","FS3X65WBAB5XWFYZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Cost per recipient of SendEmail or SendRawEmail invoked from EC2 sent to the Mailbox Simulator USW2","2015-09-01","0","Inf","Count","0.0001000000","USD","24XQKQBWBYENKRGB","Sending Email","AmazonSES","Charged for each email sent from AmazonEC2 to SES Mailbox Simulator","US West (Oregon)","AWS Region","Amazon EC2",,,,,,,,"USW2-Recipients-MailboxSim-EC2","Send","Message Body","Amazon SES Mailbox Simulator"
"R2EBCVM65GEQ7P5Z","JRTCKXETXF","R2EBCVM65GEQ7P5Z.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - US West (Oregon) data transfer from AWS GovCloud (US)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","US West (Oregon)","AWS Region","AWS GovCloud (US)","AWS Region","USW2-UGW1-AWS-In-Bytes","",,
"KNACQV9CAH9G7DD2","JRTCKXETXF","KNACQV9CAH9G7DD2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.03 per GB - AWS GovCloud (US) data transfer to EU (Ireland)","2015-09-01","0","Inf","GB","0.0300000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","AWS GovCloud (US)","AWS Region","EU (Ireland)","AWS Region","UGW1-EU-AWS-Out-Bytes","",,
"XENHCSS8DR2S25NU","JRTCKXETXF","XENHCSS8DR2S25NU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - EU (Ireland) data transfer from Asia Pacific (Tokyo)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","EU (Ireland)","AWS Region","Asia Pacific (Tokyo)","AWS Region","EU-APN1-AWS-In-Bytes","",,
"N7JF33XCBEZEKJFQ","JRTCKXETXF","N7JF33XCBEZEKJFQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - EU (Ireland) data transfer to US East (Northern Virginia)","2015-09-01","0","Inf","GB","0.0200000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","EU (Ireland)","AWS Region","US East (N. Virginia)","AWS Region","EU-USE1-AWS-Out-Bytes","",,
"2CUZQK6WQCMPWQZH","JRTCKXETXF","2CUZQK6WQCMPWQZH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.16 per GB - South America (Sao Paulo) data transfer to Asia Pacific (Tokyo)","2015-09-01","0","Inf","GB","0.1600000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","South America (Sao Paulo)","AWS Region","Asia Pacific (Tokyo)","AWS Region","SAE1-APN1-AWS-Out-Bytes","",,
"P7V48X5R37626GSK","JRTCKXETXF","P7V48X5R37626GSK.JRTCKXETXF.6YS6EN2CT7","OnDemand","Cost per recipient of SendEmail or SendRawEmail EUW1","2015-09-01","0","Inf","Count","0.0001000000","USD",,"Sending Email","AmazonSES","Charged for each email sent to an external recipient","EU (Ireland)","AWS Region","Other",,,,,,,,"EU-Recipients","Send","Message Body","Other"
"HPJVQND9UC2KB6EP","JRTCKXETXF","HPJVQND9UC2KB6EP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - EU (Ireland) data transfer to US West (Northern California)","2015-09-01","0","Inf","GB","0.0200000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","EU (Ireland)","AWS Region","US West (N. California)","AWS Region","EU-USW1-AWS-Out-Bytes","",,
"MAGJ6YJPFRA57W8B","JRTCKXETXF","MAGJ6YJPFRA57W8B.JRTCKXETXF.6YS6EN2CT7","OnDemand","Cost per recipient of SendEmail or SendRawEmail invoked from EC2 sent to the Mailbox Simulator","2015-09-01","0","Inf","Count","0.0001000000","USD","24XQKQBWBYENKRGB","Sending Email","AmazonSES","Charged for each email sent from AmazonEC2 to SES Mailbox Simulator","US East (N. Virginia)","AWS Region","Amazon EC2",,,,,,,,"Recipients-MailboxSim-EC2","Send","Message Body","Amazon SES Mailbox Simulator"
"RP3ZUBNA3QZ7JHU5","JRTCKXETXF","RP3ZUBNA3QZ7JHU5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB data transfer in to US East (Northern Virginia) from CloudFront","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","US East (N. Virginia)","AWS Region","Amazon CloudFront","AWS Edge Location","USE1-CloudFront-In-Bytes","",,
"8RAPQYUQHCUAPYTZ","JRTCKXETXF","8RAPQYUQHCUAPYTZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.09 per GB - Asia Pacific (Singapore) data transfer to EU (Ireland)","2015-09-01","0","Inf","GB","0.0900000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","Asia Pacific (Singapore)","AWS Region","EU (Ireland)","AWS Region","APS1-EU-AWS-Out-Bytes","",,
"RM75QGHBXN695TTU","JRTCKXETXF","RM75QGHBXN695TTU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB data transfer in to EUC1 (FRA) from CloudFront","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","EU (Frankfurt)","AWS Region","Amazon CloudFront","AWS Edge Location","EUC1-CloudFront-In-Bytes","",,
"XAJSBBR3F4CX756Z","JRTCKXETXF","XAJSBBR3F4CX756Z.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - EUC1 (FRA) data transfer from US East (Northern Virginia)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","EU (Frankfurt)","AWS Region","US East (N. Virginia)","AWS Region","EUC1-USE1-AWS-In-Bytes","",,
"2BG23N2FNX3BKVFW","JRTCKXETXF","2BG23N2FNX3BKVFW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - US East (Northern Virginia) data transfer to EUC1 (FRA)","2015-09-01","0","Inf","GB","0.0200000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","US East (N. Virginia)","AWS Region","EU (Frankfurt)","AWS Region","USE1-EUC1-AWS-Out-Bytes","",,
"SCM48G5B7MFU9DV3","JRTCKXETXF","SCM48G5B7MFU9DV3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - US East (Northern Virginia) data transfer from AWS GovCloud (US)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","US East (N. Virginia)","AWS Region","AWS GovCloud (US)","AWS Region","USE1-UGW1-AWS-In-Bytes","",,
"VR9U862KBYM6NBUE","JRTCKXETXF","VR9U862KBYM6NBUE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.09 per GB - Asia Pacific (Tokyo) data transfer to South America (Sao Paulo)","2015-09-01","0","Inf","GB","0.0900000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","Asia Pacific (Tokyo)","AWS Region","South America (Sao Paulo)","AWS Region","APN1-SAE1-AWS-Out-Bytes","",,
"7V8Q5N9EUVWWC3D5","JRTCKXETXF","7V8Q5N9EUVWWC3D5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.03 per GB - AWS GovCloud (US) data transfer to Asia Pacific (Sydney)","2015-09-01","0","Inf","GB","0.0300000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","AWS GovCloud (US)","AWS Region","Asia Pacific (Sydney)","AWS Region","UGW1-APS2-AWS-Out-Bytes","",,
"F97KXGS2YVB8MVF2","JRTCKXETXF","F97KXGS2YVB8MVF2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - EUC1 (FRA) data transfer from Asia Pacific (Sydney)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","EU (Frankfurt)","AWS Region","Asia Pacific (Sydney)","AWS Region","EUC1-APS2-AWS-In-Bytes","",,
"RMSQZM6MVH9WE8SB","JRTCKXETXF","RMSQZM6MVH9WE8SB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - AWS GovCloud (US) data transfer from US West (Oregon)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","AWS GovCloud (US)","AWS Region","US West (Oregon)","AWS Region","UGW1-USW2-AWS-In-Bytes","",,
"EN8XU8KPEV9VHZ4A","JRTCKXETXF","EN8XU8KPEV9VHZ4A.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - US West (Northern California) data transfer to Asia Pacific (Singapore)","2015-09-01","0","Inf","GB","0.0200000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","US West (N. California)","AWS Region","Asia Pacific (Singapore)","AWS Region","USW1-APS1-AWS-Out-Bytes","",,
"C3J6CAXEXRG66B2Y","JRTCKXETXF","C3J6CAXEXRG66B2Y.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - US West (Northern California) data transfer from US East (Northern Virginia)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","US West (N. California)","AWS Region","US East (N. Virginia)","AWS Region","USW1-USE1-AWS-In-Bytes","",,
"F62Y6TKR8NC6Q2ZB","JRTCKXETXF","F62Y6TKR8NC6Q2ZB.JRTCKXETXF.8EEUB22XNJ","OnDemand","$0.000 per GB - first 1 GB of data transferred out per month","2015-09-01","0","1","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"AWS Outbound","EU (Frankfurt)","AWS Region","External","Other","EUC1-DataTransfer-Out-Bytes","",,
"F62Y6TKR8NC6Q2ZB","JRTCKXETXF","F62Y6TKR8NC6Q2ZB.JRTCKXETXF.WVV8R9FH29","OnDemand","$0.090 per GB - up to 10 TB / month data transfer out","2015-09-01","1","10240","GB","0.0900000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"AWS Outbound","EU (Frankfurt)","AWS Region","External","Other","EUC1-DataTransfer-Out-Bytes","",,
"F62Y6TKR8NC6Q2ZB","JRTCKXETXF","F62Y6TKR8NC6Q2ZB.JRTCKXETXF.VF6T3GAUKQ","OnDemand","$0.085 per GB - next 40 TB / month data transfer out","2015-09-01","10240","51200","GB","0.0850000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"AWS Outbound","EU (Frankfurt)","AWS Region","External","Other","EUC1-DataTransfer-Out-Bytes","",,
"F62Y6TKR8NC6Q2ZB","JRTCKXETXF","F62Y6TKR8NC6Q2ZB.JRTCKXETXF.N9EW5UVVPA","OnDemand","$0.070 per GB - next 100 TB / month data transfer out","2015-09-01","51200","153600","GB","0.0700000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"AWS Outbound","EU (Frankfurt)","AWS Region","External","Other","EUC1-DataTransfer-Out-Bytes","",,
"F62Y6TKR8NC6Q2ZB","JRTCKXETXF","F62Y6TKR8NC6Q2ZB.JRTCKXETXF.GPHXDESFBB","OnDemand","$0.050 per GB - greater than 150 TB / month data transfer out","2015-09-01","153600","Inf","GB","0.0500000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"AWS Outbound","EU (Frankfurt)","AWS Region","External","Other","EUC1-DataTransfer-Out-Bytes","",,
"NBUQPTSYHSXS2EB6","JRTCKXETXF","NBUQPTSYHSXS2EB6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - US East (Northern Virginia) data transfer from US West (Northern California)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","US East (N. Virginia)","AWS Region","US West (N. California)","AWS Region","USE1-USW1-AWS-In-Bytes","",,
"7HH2VGPCYJMCN4J5","JRTCKXETXF","7HH2VGPCYJMCN4J5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - US West (Oregon) data transfer from Asia Pacific (Tokyo)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","US West (Oregon)","AWS Region","Asia Pacific (Tokyo)","AWS Region","USW2-APN1-AWS-In-Bytes","",,
"NT6JFSGAPCSRR4QS","JRTCKXETXF","NT6JFSGAPCSRR4QS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - EU (Ireland) data transfer from South America (Sao Paulo)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","EU (Ireland)","AWS Region","South America (Sao Paulo)","AWS Region","EU-SAE1-AWS-In-Bytes","",,
"768JWECWJ3XDXP9M","JRTCKXETXF","768JWECWJ3XDXP9M.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - US West (Oregon) data transfer from South America (Sao Paulo)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","US West (Oregon)","AWS Region","South America (Sao Paulo)","AWS Region","USW2-SAE1-AWS-In-Bytes","",,
"PM7SF7GUUSEM94ZC","JRTCKXETXF","PM7SF7GUUSEM94ZC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.14 per GB - Asia Pacific (Sydney) data transfer to US East (Northern Virginia)","2015-09-01","0","Inf","GB","0.1400000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","Asia Pacific (Sydney)","AWS Region","US East (N. Virginia)","AWS Region","APS2-USE1-AWS-Out-Bytes","",,
"NCJ2GXQR4WR2429E","JRTCKXETXF","NCJ2GXQR4WR2429E.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - US West (Northern California) data transfer from EU (Ireland)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","US West (N. California)","AWS Region","EU (Ireland)","AWS Region","USW1-EU-AWS-In-Bytes","",,
"R4GAKQYVKQ5RHH76","JRTCKXETXF","R4GAKQYVKQ5RHH76.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.14 per GB - Asia Pacific (Sydney) data transfer to AWS GovCloud (US)","2015-09-01","0","Inf","GB","0.1400000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","Asia Pacific (Sydney)","AWS Region","AWS GovCloud (US)","AWS Region","APS2-UGW1-AWS-Out-Bytes","",,
"DZHU5BKVVZXEHEYR","JRTCKXETXF","DZHU5BKVVZXEHEYR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - US East (Northern Virginia) data transfer from Asia Pacific (Singapore)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","US East (N. Virginia)","AWS Region","Asia Pacific (Singapore)","AWS Region","USE1-APS1-AWS-In-Bytes","",,
"HFXZVSS4PED66CA3","JRTCKXETXF","HFXZVSS4PED66CA3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - US West (Oregon) data transfer to EUC1 (FRA)","2015-09-01","0","Inf","GB","0.0200000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","US West (Oregon)","AWS Region","EU (Frankfurt)","AWS Region","USW2-EUC1-AWS-Out-Bytes","",,
"2T92AZQGNFAQHEXW","JRTCKXETXF","2T92AZQGNFAQHEXW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - US East (Northern Virginia) data transfer to Asia Pacific (Singapore)","2015-09-01","0","Inf","GB","0.0200000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","US East (N. Virginia)","AWS Region","Asia Pacific (Singapore)","AWS Region","USE1-APS1-AWS-Out-Bytes","",,
"8ZF7AYEGYB52SDP5","JRTCKXETXF","8ZF7AYEGYB52SDP5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.03 per GB - AWS GovCloud (US) data transfer to Asia Pacific (Singapore)","2015-09-01","0","Inf","GB","0.0300000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","AWS GovCloud (US)","AWS Region","Asia Pacific (Singapore)","AWS Region","UGW1-APS1-AWS-Out-Bytes","",,
"7GKTRVZJWVEDRJXW","JRTCKXETXF","7GKTRVZJWVEDRJXW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - Asia Pacific (Singapore) data transfer from Asia Pacific (Tokyo)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","Asia Pacific (Singapore)","AWS Region","Asia Pacific (Tokyo)","AWS Region","APS1-APN1-AWS-In-Bytes","",,
"GSQJMJPK4SFYF63H","JRTCKXETXF","GSQJMJPK4SFYF63H.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - US East (Northern Virginia) data transfer from Asia Pacific (Sydney)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","US East (N. Virginia)","AWS Region","Asia Pacific (Sydney)","AWS Region","USE1-APS2-AWS-In-Bytes","",,
"ARHHEUH3WM2QNZJF","JRTCKXETXF","ARHHEUH3WM2QNZJF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - US West (Oregon) data transfer to US West (Northern California)","2015-09-01","0","Inf","GB","0.0200000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","US West (Oregon)","AWS Region","US West (N. California)","AWS Region","USW2-USW1-AWS-Out-Bytes","",,
"EAUDKWWNQJZTV253","JRTCKXETXF","EAUDKWWNQJZTV253.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - US West (Oregon) data transfer to US East (Northern Virginia)","2015-09-01","0","Inf","GB","0.0200000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","US West (Oregon)","AWS Region","US East (N. Virginia)","AWS Region","USW2-USE1-AWS-Out-Bytes","",,
"6BAFVNB3S9ZSV78N","JRTCKXETXF","6BAFVNB3S9ZSV78N.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB data transfer out of Asia Pacific (Singapore) to CloudFront","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","Asia Pacific (Singapore)","AWS Region","Amazon CloudFront","AWS Edge Location","APS1-CloudFront-Out-Bytes","",,
"FSEU4E6BRE95JTX8","JRTCKXETXF","FSEU4E6BRE95JTX8.JRTCKXETXF.8EEUB22XNJ","OnDemand","$0.000 per GB - first 1 GB of data transferred out per month","2015-09-01","0","1","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"AWS Outbound","EU (Ireland)","AWS Region","External","Other","EU-DataTransfer-Out-Bytes","",,
"FSEU4E6BRE95JTX8","JRTCKXETXF","FSEU4E6BRE95JTX8.JRTCKXETXF.WVV8R9FH29","OnDemand","$0.090 per GB - up to 10 TB / month data transfer out","2015-09-01","1","10240","GB","0.0900000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"AWS Outbound","EU (Ireland)","AWS Region","External","Other","EU-DataTransfer-Out-Bytes","",,
"FSEU4E6BRE95JTX8","JRTCKXETXF","FSEU4E6BRE95JTX8.JRTCKXETXF.VF6T3GAUKQ","OnDemand","$0.085 per GB - next 40 TB / month data transfer out","2015-09-01","10240","51200","GB","0.0850000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"AWS Outbound","EU (Ireland)","AWS Region","External","Other","EU-DataTransfer-Out-Bytes","",,
"FSEU4E6BRE95JTX8","JRTCKXETXF","FSEU4E6BRE95JTX8.JRTCKXETXF.N9EW5UVVPA","OnDemand","$0.070 per GB - next 100 TB / month data transfer out","2015-09-01","51200","153600","GB","0.0700000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"AWS Outbound","EU (Ireland)","AWS Region","External","Other","EU-DataTransfer-Out-Bytes","",,
"FSEU4E6BRE95JTX8","JRTCKXETXF","FSEU4E6BRE95JTX8.JRTCKXETXF.GPHXDESFBB","OnDemand","$0.050 per GB - greater than 150 TB / month data transfer out","2015-09-01","153600","Inf","GB","0.0500000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"AWS Outbound","EU (Ireland)","AWS Region","External","Other","EU-DataTransfer-Out-Bytes","",,
"A5X98G7VBHSKYB2G","JRTCKXETXF","A5X98G7VBHSKYB2G.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - EUC1 (FRA) data transfer from US West (Northern California)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","EU (Frankfurt)","AWS Region","US West (N. California)","AWS Region","EUC1-USW1-AWS-In-Bytes","",,
"ANGTEYAXMX2AGDR4","JRTCKXETXF","ANGTEYAXMX2AGDR4.JRTCKXETXF.Q3Z75P77EN","OnDemand","$0.155 per GB - up to 10 TB / month data transfer out","2015-09-01","0","10240","GB","0.1550000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"AWS Outbound","AWS GovCloud (US)","AWS Region","External","Other","UGW1-DataTransfer-Out-Bytes","",,
"ANGTEYAXMX2AGDR4","JRTCKXETXF","ANGTEYAXMX2AGDR4.JRTCKXETXF.VF6T3GAUKQ","OnDemand","$0.115 per GB - next 40 TB / month data transfer out","2015-09-01","10240","51200","GB","0.1150000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"AWS Outbound","AWS GovCloud (US)","AWS Region","External","Other","UGW1-DataTransfer-Out-Bytes","",,
"ANGTEYAXMX2AGDR4","JRTCKXETXF","ANGTEYAXMX2AGDR4.JRTCKXETXF.N9EW5UVVPA","OnDemand","$0.090 per GB - next 100 TB / month data transfer out","2015-09-01","51200","153600","GB","0.0900000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"AWS Outbound","AWS GovCloud (US)","AWS Region","External","Other","UGW1-DataTransfer-Out-Bytes","",,
"ANGTEYAXMX2AGDR4","JRTCKXETXF","ANGTEYAXMX2AGDR4.JRTCKXETXF.GPHXDESFBB","OnDemand","$0.065 per GB - greater than 150 TB / month data transfer out","2015-09-01","153600","Inf","GB","0.0650000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"AWS Outbound","AWS GovCloud (US)","AWS Region","External","Other","UGW1-DataTransfer-Out-Bytes","",,
"W3PUKFKG7RDK3KA5","JRTCKXETXF","W3PUKFKG7RDK3KA5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - EUC1 (FRA) data transfer from Asia Pacific (Singapore)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","EU (Frankfurt)","AWS Region","Asia Pacific (Singapore)","AWS Region","EUC1-APS1-AWS-In-Bytes","",,
"554MMCETYFH7G83C","JRTCKXETXF","554MMCETYFH7G83C.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - US West (Northern California) data transfer to EUC1 (FRA)","2015-09-01","0","Inf","GB","0.0200000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","US West (N. California)","AWS Region","EU (Frankfurt)","AWS Region","USW1-EUC1-AWS-Out-Bytes","",,
