"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2015-12-09T23:40:29Z"
"Version","20150901000000"
"OfferCode","AmazonSES"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","Product Family","serviceCode","Description","Location","Location Type","Origin","Group","Group Description","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation","Content Type","Recipient"
"N7SVZUB63F47UVC3","JRTCKXETXF","N7SVZUB63F47UVC3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - US West (Oregon) data transfer from Asia Pacific (Sydney)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","US West (Oregon)","AWS Region","Asia Pacific (Sydney)","AWS Region","USW2-APS2-AWS-In-Bytes","",,
"9FJAFFCNYG56X9VQ","JRTCKXETXF","9FJAFFCNYG56X9VQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Cost per GB of attachments EUW1","2015-09-01","0","Inf","GB","0.1200000000","USD",,"Sending Attachments","AmazonSES","Charged for attachments sent","EU (Ireland)","AWS Region","Any",,,,,,,,"EU-AttachmentsSize-Bytes","Send","Mail Attachment","Any"
"MPTK4XZFGKXHBE83","JRTCKXETXF","MPTK4XZFGKXHBE83.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - EUC1 (FRA) data transfer to Asia Pacific (Sydney)","2015-09-01","0","Inf","GB","0.0200000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","EU (Frankfurt)","AWS Region","Asia Pacific (Sydney)","AWS Region","EUC1-APS2-AWS-Out-Bytes","",,
"DZTYEC39NYWFQHH4","JRTCKXETXF","DZTYEC39NYWFQHH4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - Asia Pacific (Tokyo) data transfer from Asia Pacific (Sydney)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","Asia Pacific (Tokyo)","AWS Region","Asia Pacific (Sydney)","AWS Region","APN1-APS2-AWS-In-Bytes","",,
"24XQKQBWBYENKRGB","A429C66SYZ","24XQKQBWBYENKRGB.A429C66SYZ.YFQHUT4EVE","OnDemand","Cost per recipient of SendEmail or SendRawEmail invoked from EC2 sent to the Mailbox Simulator Global","2015-09-01","0","62000","Count","0.0000000000","USD",,"Bundle","AmazonSES",,,,,"SES-MonthlyFree-OutgoingEmail-Simulator","Monthly free outgoing emails from AmazonEC2 to Amazon SES Mailbox Simulator",,,,,,"Global-Recipients-MailboxSim-EC2","Send",,
"Q96UBPVHCUASQYDM","JRTCKXETXF","Q96UBPVHCUASQYDM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.03 per GB - AWS GovCloud (US) data transfer to US West (Northern California)","2015-09-01","0","Inf","GB","0.0300000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","AWS GovCloud (US)","AWS Region","US West (N. California)","AWS Region","UGW1-USW1-AWS-Out-Bytes","",,
"E2CVBNCD9S5C5G7T","JRTCKXETXF","E2CVBNCD9S5C5G7T.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.14 per GB - Asia Pacific (Sydney) data transfer to US West (Oregon)","2015-09-01","0","Inf","GB","0.1400000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","Asia Pacific (Sydney)","AWS Region","US West (Oregon)","AWS Region","APS2-USW2-AWS-Out-Bytes","",,
"NR3GYUVAU7D79JWY","JRTCKXETXF","NR3GYUVAU7D79JWY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - South America (Sao Paulo) data transfer from EU (Ireland)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","South America (Sao Paulo)","AWS Region","EU (Ireland)","AWS Region","SAE1-EU-AWS-In-Bytes","",,
"57G4W2J4GYNXE4B7","JRTCKXETXF","57G4W2J4GYNXE4B7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB data transfer in to Asia Pacific (Singapore) from CloudFront","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","Asia Pacific (Singapore)","AWS Region","Amazon CloudFront","AWS Edge Location","APS1-CloudFront-In-Bytes","",,
"PN6NV7HY5AGRADSX","JRTCKXETXF","PN6NV7HY5AGRADSX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - EU (Ireland) data transfer from US West (Northern California)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","EU (Ireland)","AWS Region","US West (N. California)","AWS Region","EU-USW1-AWS-In-Bytes","",,
"9YKWHYHK8CJW6DNV","JRTCKXETXF","9YKWHYHK8CJW6DNV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - US West (Northern California) data transfer to US East (Northern Virginia)","2015-09-01","0","Inf","GB","0.0200000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","US West (N. California)","AWS Region","US East (N. Virginia)","AWS Region","USW1-USE1-AWS-Out-Bytes","",,
